Date,Product_ID,Demand,Seasonality,Lead_Time_Days
2021-01-30,13,66.37869818,Spring,25
2018-08-17,89,44.82192366,Winter,17
2021-07-01,69,23.6105296,Spring,4
2021-03-14,34,47.61542531,Fall,26
2022-07-05,56,72.19201891,Winter,28
2018-03-14,63,41.03674011,Fall,23
2019-02-25,21,60.28047809,Spring,18
2020-06-10,2,70.41527647,Spring,26
2019-06-06,32,99.88668683,Summer,29
2018-08-13,34,34.24287237,Summer,6
2021-10-27,79,43.46647097,Spring,11
2020-04-05,40,70.57903069,Summer,17
2022-06-10,47,47.83338876,Spring,15
2021-03-19,91,27.35766832,Fall,9
2018-06-26,23,60.01322557,Summer,14
2021-09-26,55,21.22295087,Spring,1
2019-11-06,77,37.26054144,Winter,13
2018-01-09,14,49.48419421,Winter,18
2022-06-03,97,54.12297752,Summer,12
2020-01-25,56,44.08795449,Spring,14
2021-09-07,27,23.0217368,Spring,1
2020-08-16,100,43.04603506,Summer,9
2021-03-16,70,55.60604485,Fall,28
2020-11-24,63,85.70228618,Summer,23
2019-05-22,34,35.0384737,Winter,14
2021-10-12,19,79.91930313,Summer,22
2019-02-15,67,17.12858331,Winter,6
2018-04-26,49,57.10369081,Winter,20
2020-01-29,93,32.35905432,Winter,9
2019-04-09,83,26.54420559,Fall,10
2022-11-15,88,56.77757626,Winter,21
2020-10-11,53,100.765847,Summer,29
2021-10-29,97,40.22053201,Summer,7
2019-09-06,78,40.93859116,Fall,20
2019-09-25,41,51.88481128,Spring,17
2022-03-29,12,20.64510442,Fall,6
2019-02-05,28,43.74326015,Summer,8
2019-07-23,98,11.13660583,Winter,1
2019-12-03,26,21.72113772,Summer,1
2020-05-25,10,64.43636659,Winter,25
2018-12-30,92,58.98093601,Spring,19
2019-07-16,40,34.95185483,Spring,9
2018-06-10,76,25.31139782,Spring,4
2019-10-13,25,25.88844711,Winter,9
2021-10-18,53,54.09732197,Fall,29
2020-10-09,38,51.78394426,Fall,28
2022-04-05,23,9.712965731,Winter,3
2022-01-26,16,98.64468289,Summer,29
2021-02-20,99,42.50579345,Spring,9
2020-04-14,44,43.07398397,Spring,10
2021-02-09,60,35.751093,Spring,7
2019-11-26,69,46.84760959,Spring,13
2020-12-05,88,94.32274171,Summer,27
2021-09-24,77,26.29243183,Summer,5
2021-02-26,4,14.28459789,Summer,1
2021-12-16,13,45.49894041,Fall,23
2019-01-04,71,18.49967791,Summer,2
2019-04-16,79,35.62201405,Winter,12
2020-11-19,18,38.20452827,Fall,16
2022-09-10,99,54.04256153,Fall,30
2018-05-15,95,50.04871934,Summer,13
2021-05-15,39,25.44400314,Fall,9
2018-05-14,32,22.34398044,Fall,9
2019-05-24,17,92.95996756,Summer,25
2020-04-26,26,32.74276392,Fall,17
2020-07-19,59,26.29610938,Summer,5
2019-08-29,64,70.56639531,Summer,17
2019-09-23,82,73.11540217,Spring,25
2020-01-12,48,26.46070517,Fall,14
2021-12-14,85,93.41086192,Summer,25
2019-04-15,58,50.46689571,Winter,18
2018-06-14,34,15.59504161,Winter,4
2019-08-07,14,48.77861738,Summer,11
2022-09-04,75,52.65876047,Spring,14
2020-11-22,6,43.18222104,Winter,17
2020-05-07,29,16.86384598,Fall,7
2020-07-10,42,27.58304562,Spring,6
2022-11-19,17,56.62547739,Winter,20
2021-09-03,37,85.71623156,Summer,25
2021-06-30,93,15.60412982,Fall,7
2020-03-30,20,49.67082349,Spring,14
2022-12-04,67,63.52264427,Spring,22
2018-03-10,39,14.95676905,Fall,3
2018-08-16,12,13.16780758,Fall,5
2019-07-17,1,57.6376509,Winter,22
2020-10-28,32,59.54109352,Summer,16
2022-01-25,90,40.95871045,Spring,12
2021-03-29,34,52.69971893,Fall,29
2022-10-11,28,38.55589851,Summer,7
2018-05-25,33,34.25255125,Summer,6
2021-03-25,95,67.49273341,Summer,16
2021-11-25,45,72.71299381,Summer,18
2019-10-09,64,34.2560614,Winter,13
2022-01-16,93,42.10347254,Spring,10
2020-09-26,7,46.61454935,Summer,10
2019-10-11,42,23.26249072,Spring,3
2021-07-05,33,73.90611572,Winter,27
2022-10-01,4,56.7339479,Spring,18
2022-06-18,88,61.38952706,Winter,22
2020-06-11,60,66.2855451,Spring,21
2019-12-01,71,50.34767213,Summer,12
2018-03-22,26,43.31028975,Fall,25
2021-02-03,47,8.739846236,Winter,1
2020-10-27,59,39.98977763,Spring,8
2021-10-14,12,30.10523689,Fall,11
2018-04-16,73,53.15282333,Fall,26
2019-10-17,39,40.62743039,Winter,15
2018-07-23,82,4.497571634,Winter,1
2019-01-09,84,76.09552801,Winter,29
2021-02-11,15,31.84226508,Spring,4
2022-01-25,72,44.30044858,Spring,11
2018-06-04,12,38.28453126,Summer,8
2020-02-14,85,73.55138664,Winter,29
2021-11-21,64,24.35550333,Winter,7
2020-12-30,47,78.92977078,Spring,28
2019-07-31,87,44.5392541,Fall,22
2021-04-05,7,18.17157048,Winter,5
2018-06-23,54,33.49903314,Fall,16
2018-12-25,41,48.76077482,Summer,11
2019-08-21,70,38.21017698,Winter,15
2020-11-19,77,68.02676534,Spring,23
2021-01-05,60,27.497458,Winter,8
2022-09-24,8,34.16648243,Summer,8
2020-09-27,54,67.86060516,Winter,24
2022-04-21,42,28.69741977,Summer,3
2022-06-27,80,64.59453653,Winter,22
2021-08-23,13,40.2131185,Summer,9
2019-09-25,66,75.20723053,Spring,29
2020-08-06,51,36.80549105,Summer,7
2022-10-26,47,13.30863162,Winter,4
2019-01-06,6,67.72382977,Spring,25
2020-03-21,94,39.66602785,Summer,9
2022-07-30,41,31.92501167,Fall,16
2018-12-21,99,64.74712493,Summer,17
2021-10-30,41,53.83206593,Summer,12
2018-01-14,80,63.87525505,Winter,25
2020-08-14,93,39.96617531,Spring,9
2020-06-03,65,57.6313338,Spring,21
2022-05-12,91,49.27266691,Summer,13
2019-07-09,3,12.69149324,Fall,1
2018-02-20,72,67.80368359,Spring,22
2021-03-19,14,21.19945165,Spring,2
2019-09-25,90,34.45221177,Spring,7
2018-07-30,95,25.33504864,Fall,7
2018-08-09,22,78.60198653,Spring,27
2020-10-31,41,51.92896042,Spring,16
2020-12-29,79,66.33313439,Spring,23
2019-04-27,1,28.56089523,Winter,8
2019-11-26,47,28.06591691,Spring,6
2021-04-28,25,51.61103059,Spring,18
2021-09-01,67,25.93702827,Spring,5
2018-09-13,79,41.59670162,Fall,22
2021-10-25,36,100.2575981,Summer,30
2022-03-02,60,25.44237298,Spring,5
2020-05-29,19,57.06668798,Winter,21
2022-04-22,39,12.33017898,Winter,4
2020-04-02,58,37.30868209,Fall,21
2022-03-06,92,40.16789639,Fall,21
2018-05-19,79,24.96325801,Winter,8
2021-06-10,32,38.21098511,Summer,9
2018-12-19,94,76.9451194,Winter,28
2019-02-18,38,68.93501731,Spring,22
2020-12-10,93,42.46163662,Fall,21
2021-08-25,29,86.63366402,Summer,24
2019-06-15,61,74.1075643,Spring,26
2018-08-21,46,15.94507599,Fall,6
2022-02-03,38,74.58954921,Summer,20
2018-12-12,12,49.55936201,Winter,19
2018-03-04,44,17.68891311,Fall,3
2019-11-27,19,65.13448836,Spring,21
2020-08-09,38,29.00144438,Spring,3
2021-04-22,75,27.02777359,Winter,7
2019-03-19,85,62.1022262,Winter,22
2020-10-31,24,30.87253992,Fall,12
2018-02-09,86,17.29328509,Spring,1
2018-05-27,16,46.66156714,Spring,12
2021-08-27,19,13.70961962,Winter,4
2021-04-17,69,74.29098382,Summer,21
2020-05-11,57,19.99587039,Spring,2
2018-04-11,64,55.86557326,Spring,19
2021-02-13,54,26.6897056,Fall,12
2022-11-03,92,9.092679394,Fall,2
2019-09-26,23,82.04099503,Summer,22
2018-07-19,8,64.63108064,Summer,17
2021-06-03,80,12.71633869,Fall,5
2022-10-30,54,48.43295842,Winter,16
2021-06-22,4,10.94110184,Fall,2
2021-08-31,39,53.65960824,Spring,17
2019-11-22,97,57.75391444,Summer,13
2021-05-11,52,38.74032717,Fall,21
2022-05-11,98,27.05309823,Spring,4
2018-04-13,99,50.77563956,Summer,13
2019-05-26,57,51.41887871,Summer,13
2020-03-06,24,74.89739782,Spring,27
2021-12-19,92,24.81868736,Spring,3
2020-08-14,5,93.33499119,Summer,26
2020-11-02,32,16.83634954,Winter,3
2020-08-09,55,15.78273631,Winter,6
2019-05-27,53,97.2878955,Summer,29
2019-04-11,37,44.69085433,Summer,9
2021-08-22,4,74.39001155,Spring,26
2020-09-13,35,66.87863714,Winter,24
2022-06-27,5,54.25133966,Summer,13
2022-06-02,96,64.3181745,Spring,23
2018-02-16,64,22.83233176,Winter,6
2021-11-15,18,70.29956813,Winter,28
2021-04-20,9,14.36089234,Fall,2
2022-03-24,4,69.73161051,Spring,27
2018-09-14,81,23.21859463,Fall,10
2018-06-29,40,58.72533876,Summer,13
2022-07-12,97,58.94501749,Spring,18
2018-02-12,27,54.17045314,Fall,29
2020-08-31,84,28.61614399,Fall,15
2020-08-02,6,41.81043645,Fall,22
2020-12-27,63,54.11254142,Spring,19
2019-05-15,64,60.87831842,Spring,18
2022-09-17,70,78.14709641,Summer,21
2020-04-17,46,45.34798459,Fall,26
2021-06-14,72,28.12597321,Summer,5
2021-07-27,72,36.73557269,Fall,21
2018-08-05,95,80.77470064,Spring,28
2022-06-23,21,56.28518317,Fall,30
2021-04-02,33,30.36791468,Fall,13
2019-10-16,35,48.83200014,Fall,27
2019-01-29,78,15.5428351,Winter,6
2019-12-26,82,31.33092153,Fall,17
2022-10-31,96,99.35918064,Summer,29
2022-09-14,88,34.2924983,Fall,17
2018-01-20,75,25.08321103,Summer,5
2019-05-15,84,103.2849076,Summer,30
2022-12-11,72,27.80535864,Winter,8
2018-05-19,59,28.49250158,Winter,9
2020-04-03,89,80.56003907,Winter,29
2022-10-05,55,53.49649416,Summer,12
2019-12-25,43,30.50202089,Spring,4
2022-02-07,50,61.99864438,Summer,16
2020-11-24,69,34.66485588,Spring,8
2018-08-21,99,41.37857324,Fall,23
2020-09-26,88,55.93516061,Winter,19
2021-04-04,51,44.15891107,Fall,22
2020-09-26,74,77.05398921,Spring,28
2019-10-18,79,93.59709185,Summer,27
2021-03-26,59,46.87858679,Fall,27
2018-03-24,67,80.56862141,Summer,23
2018-09-03,42,35.14218452,Spring,10
2018-09-27,99,27.20262985,Winter,9
2019-08-17,91,29.81883958,Winter,10
2019-03-30,28,48.98716398,Winter,17
2021-02-08,98,78.29047819,Summer,22
2018-04-09,6,35.82473517,Fall,15
2021-06-24,62,66.08012254,Spring,23
2020-03-03,56,77.66206366,Winter,28
2020-09-22,48,39.46251888,Winter,13
2019-01-14,86,32.1663855,Fall,14
2022-02-21,59,28.39647286,Winter,11
2022-07-30,92,15.94253679,Fall,4
2021-04-12,36,88.65979852,Summer,23
2019-02-21,60,104.3275654,Summer,29
2020-01-07,83,52.0280304,Winter,20
2021-02-08,34,73.4875344,Spring,28
2019-01-17,89,54.56343283,Spring,18
2021-12-31,22,63.17418271,Winter,22
2021-10-11,66,30.82992585,Winter,11
2019-12-20,19,64.97136544,Winter,23
2020-01-22,44,17.07318265,Winter,4
2019-11-12,11,52.72098859,Fall,28
2019-01-07,6,67.73692078,Winter,24
2020-10-01,46,25.94418097,Summer,4
2021-03-29,46,57.34734822,Spring,18
2020-11-25,18,40.69716199,Winter,15
2022-07-30,45,74.75696553,Spring,28
2018-01-27,39,59.65566481,Fall,30
2021-04-07,9,19.66652174,Winter,4
2021-11-01,46,49.89685326,Spring,17
2018-10-12,75,4.902963503,Winter,1
2019-11-22,54,80.97035485,Summer,21
2019-07-22,55,5.342222474,Winter,2
2019-04-02,32,41.40479606,Winter,13
2020-03-18,5,100.1706967,Summer,28
2020-09-28,34,33.43329977,Spring,5
2021-09-21,12,44.85296276,Fall,21
2020-07-19,10,20.7000577,Spring,2
2018-11-15,47,63.30355031,Spring,24
2020-05-19,67,27.78571061,Fall,10
2022-03-31,2,38.51580948,Fall,21
2022-09-28,36,46.34943135,Spring,12
2019-10-26,45,68.45280246,Summer,19
2018-08-28,60,34.16754771,Summer,6
2021-01-16,82,49.27506543,Winter,16
2022-07-25,95,24.4660185,Summer,2
2021-07-28,24,27.47134648,Fall,9
2019-06-22,80,30.54691798,Spring,5
2018-09-22,15,70.33073401,Summer,20
2019-02-24,75,27.15883664,Winter,7
2020-03-06,22,50.47143832,Summer,12
2018-06-16,21,39.27729445,Fall,22
2018-08-16,4,52.48347872,Winter,19
2019-12-20,39,52.19526334,Winter,19
2020-10-28,90,29.93209337,Fall,14
2018-09-14,59,86.99938054,Summer,25
2021-07-07,8,84.09913585,Summer,24
2020-04-30,51,31.21780815,Fall,13
2019-12-27,92,83.65672732,Spring,30
2020-04-03,15,18.97711328,Winter,4
2019-10-29,17,98.99937366,Summer,28
2020-07-20,24,81.42434098,Winter,29
2018-10-19,57,23.47113551,Fall,6
2020-06-02,10,60.67594899,Spring,22
2020-04-17,64,80.23545262,Summer,22
2018-02-14,41,98.14157549,Summer,27
2019-01-12,77,43.19506323,Fall,19
2021-12-03,63,42.55286656,Spring,13
2022-06-29,96,20.33377352,Fall,5
2020-12-02,55,106.6713212,Summer,30
2022-04-28,91,16.91316846,Winter,3
2022-08-31,61,40.75876791,Fall,20
